Package                  License
-----------------------  -------
alsa-lib-1.0.24.1-0      LGPL
alsa-utils-1.0.24.2-0    GPL
atk-1.20.0-1             LGPL
bash-2.05b-1             GPL
bigreqsproto-1.0.2-1     X11
binutils-2.18-4          GPL
bonnie++-1.93c-1         GPL
busybox-1.20.2-1         GPL
bzip2-1.0.2-2            BSD
cairo-1.6.4-1            LGPL or MPL 1.1
cantest-1.0-1            GPL
compositeproto-0.4-1     X11
coreutils-6.3-1          GPL
damageproto-1.1.0-1      X11
dbus-1.2.3-1             GPL
dbus-glib-0.76-1         GPL
devmem2-1.0-1            GPL
dhcp-3.0.3b1-1           Internet Systems Consortium (distributable)
diffutils-2.8.1-1        GPL
DirectFB-1.4.0-1         LGPL
dosfstools-3.0.12-1      GPL
dropbear-0.52-1          MIT
e2fsprogs-1.41.4-1       GPL
eel-2.24.0-1             LGPL
enchant-1.2.5-1          LGPL
eog-2.24.2-1             GPL
evolution-2.24.0-1       LGPL
evolution-data-server-2. LGPL
expat-1.95.8-1           MIT/X Consortium License
fbset-2.1-1              GPL
findutils-4.2.28-1       GPL
fixesproto-4.0-1         X11
fontcacheproto-0.1.2-1   X11
fontconfig-2.4.2-1       MIT
fontsproto-2.0.2-1       X11
font-util-1.0.1-1        X11
freetype-2.3.9-1         GPL or FTL
GConf-dbus-2.16.0-1      LGPL
gdb-6.6-1                GPL
glib2-2.22.1-1           LGPL
gnome-desktop-2.24.2-1   LGPL
gnome-icon-theme-2.24.0- GPL
gnome-keyring-2.24.1-1   LGPL/GPL
gnome-mime-data-2.4.1-1  GPL
gnome-vfs-2.24.1-1       GPL/LGPL
gst-plugins-base-0.10.35 LGPL
gst-plugins-good-0.10.30 LGPL
gst-plugins-ugly-0.10.11 LGPL
gstreamer-core-0.10.35-1 LGPL
gtk2-2.14.3-1            LGPL
gtkhtml-3.24.2-2         LGPL
hal-0.5.10-1             GPL
hdparm-5.9-1             BSD
hotplug-2004_03_29-3     GPL
i2c-tools-3.0.2-1        GPL
imx-bootlets-src-2.6.35. GPL
imx-lib-2.6.35.3-1.1.0   LGPL
imx-test-2.6.35.3-1.1.0  GPL/Other
inputproto-1.4.4-1       X11
input-utils-2007.06.22-2 GPL
iproute-2.6.38-1         GPL
